ID1,ID2,EdgeType,Score,Annotation
2948,2949,MS1 annotation,4.000,[2M+2H]+2 [M+Na]+ dm/z=21.9819
2960,3008,MS1 annotation,4.000,[M+NH4]+ [M-3H2O+H]+ dm/z=71.0582
3000,3013,MS1 annotation,2.000,[M+K]+ [M+NH4]+ dm/z=20.9292
3007,3008,MS1 annotation,4.000,[M+NH4]+ [M-2H2O+H]+ dm/z=53.0478
3008,3040,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0373
3125,3157,MS1 annotation,2.000,[M+Na]+ [2M+K]+ dm/z=227.9461
3247,3249,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0263
3422,3444,MS1 annotation,5.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0372
3422,3538,MS1 annotation,5.000,[M+K]+ [M-H2O+H]+ dm/z=55.9666
3422,3485,MS1 annotation,5.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9924
3422,3444,MS1 annotation,5.000,[M+NH4]+ [2M-2H2O+2H]+2 dm/z=35.0372
3422,3538,MS1 annotation,5.000,[M+K]+ [2M-2H2O+2H]+2 dm/z=55.9666
3422,3485,MS1 annotation,5.000,[M+Na]+ [2M-2H2O+2H]+2 dm/z=39.9924
3444,3538,MS1 annotation,5.000,[M+K]+ [M+NH4]+ dm/z=20.9294
3444,3485,MS1 annotation,5.000,[M+Na]+ [M+NH4]+ dm/z=4.9552
3485,3495,MS1 annotation,5.000,[M-H2O+NH4]+ [M+Na]+ dm/z=22.9653
3485,3538,MS1 annotation,5.000,[M+K]+ [M+Na]+ dm/z=15.9742
3702,4078,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9740
3702,4054,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9295
3842,3863,MS1 annotation,2.000,[M+NH4]+ [M+K]+ dm/z=20.9296
4054,4078,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
4205,4230,MS1 annotation,2.000,[M+NH4]+ [M+K]+ dm/z=20.9293
4206,4261,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9551
4206,4248,MS1 annotation,3.000,[M+K]+ [M+Na]+ dm/z=15.9742
4216,4246,MS1 annotation,4.000,[2M+2H]+2 [M+K]+ dm/z=37.9559
4216,4337,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9744
4246,4477,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0265
4246,4337,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9815
4246,4477,MS1 annotation,4.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0265
4246,4337,MS1 annotation,4.000,[M+Na]+ [2M+2H]+2 dm/z=21.9815
4248,4261,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9293
