ID1,ID2,EdgeType,Score,Annotation
3815,3990,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9292
3861,3867,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9291
3861,3868,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9736
3867,3868,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
3892,3941,MS1 annotation,4.000,[M+NH4]+ [M+K]+ dm/z=20.9292
3932,3941,MS1 annotation,4.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0369
3932,3941,MS1 annotation,4.000,[M+NH4]+ [2M-2H2O+2H]+2 dm/z=35.0369
3946,3964,MS1 annotation,2.000,[M+Na]+ [M-2H2O+H]+ dm/z=58.0054
3967,4104,MS1 annotation,2.000,[M+K]+ [M+NH4]+ dm/z=20.9291
4094,4118,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
4251,4252,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0269
4321,4350,MS1 annotation,3.000,[M+K]+ [M+Na]+ dm/z=15.9742
4321,4349,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9550
4349,4350,MS1 annotation,3.000,[M+K]+ [M+NH4]+ dm/z=20.9293
4439,4494,MS1 annotation,5.000,[M+NH4]+ [M+K]+ dm/z=20.9296
4439,4440,MS1 annotation,5.000,[M+Na]+ [M+K]+ dm/z=15.9740
4440,4494,MS1 annotation,5.000,[M+NH4]+ [M+Na]+ dm/z=4.9556
4442,4450,MS1 annotation,5.000,[2M+2H]+2 [M+K]+ dm/z=37.9557
4442,4456,MS1 annotation,5.000,[M+Na]+ [M+K]+ dm/z=15.9739
4445,4447,MS1 annotation,2.000,[M+K]+ [M+Na]+ dm/z=15.9738
4446,4450,MS1 annotation,5.000,[M+H]+ [2M+Na]+ dm/z=310.0665
4450,4456,MS1 annotation,5.000,[M+Na]+ [M+H]+ dm/z=21.9818
4450,4456,MS1 annotation,5.000,[M+Na]+ [2M+2H]+2 dm/z=21.9818
4474,4475,MS1 annotation,2.000,[M+K]+ [M+NH4]+ dm/z=20.9290
4617,4663,MS1 annotation,3.000,[M+K]+ [M+Na]+ dm/z=15.9740
4617,4678,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
4702,4813,MS1 annotation,3.000,[M+K]+ [M+NH4]+ dm/z=20.9293
4702,4902,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
4707,4788,MS1 annotation,2.000,[M+Na]+ [M+K]+ dm/z=15.9730
