CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
2585	6207	11	0.9377	0.034
2370	3580	11	0.9223	208.037
311	826	11	0.9438	-17.028
36	1596	11	0.967	192.063
1683	1927	11	0.9465	17.027
4728	4736	11	0.9499	15.997
1521	5158	11	0.9837	-17.026
2050	3999	11	0.9705	280.058
240	826	11	0.9389	-35.036
1521	4014	11	0.9635	20.953
1713	4175	11	0.9783	-0.036
38	6001	11	0.9337	-144.042
10	311	11	0.9373	-146.037
36	5310	11	0.9588	73.004
1990	2286	11	0.9581	-4.031
777	5158	11	0.9684	-69.023
4346	4497	11	0.9482	17.027
5151	5595	11	0.9447	162.053
1521	5309	11	0.9797	12.000
4014	5321	11	0.9517	-188.033
3999	5158	11	0.9664	-51.994
2367	3243	11	0.9481	-115.027
1683	5312	11	0.9558	12.000
3580	5082	11	0.9408	-15.996
1515	2367	11	0.9815	0.000
1713	4034	11	0.9702	17.028
5180	5312	11	0.9247	-107.058
3243	5397	11	0.95	-58.988
3405	4619	11	0.936	-0.000
3474	4043	11	1.0	0.000
36	3219	11	0.9664	192.064
5003	5596	11	0.972	0.000
2268	6001	11	0.9553	-144.042
1533	5893	11	0.9415	12.001
152	2367	11	0.9774	0.000
2367	2803	11	0.9574	-156.042
4175	5158	11	0.9799	66.047
4034	4175	11	0.9753	-17.064
4037	5325	11	0.9652	-60.021
4768	5592	11	0.9462	-32.025
1596	5151	11	0.9464	-162.053
4601	5397	11	0.9492	-174.015
1569	2367	11	0.9796	0.000
1368	4037	11	0.9536	60.019
424	1569	11	0.9745	-0.000
1521	2050	11	0.9816	-245.090
4768	5901	11	0.9598	0.000
33	5995	11	0.9484	-180.063
777	3999	11	0.9671	-17.029
33	2558	11	0.9251	-35.037
4037	5893	11	0.9528	30.010
5595	5890	11	0.9283	0.000
2050	5310	11	0.9709	240.063
36	5995	11	0.9591	-162.031
10	2585	11	0.9538	-121.074
10	5312	11	0.9495	-89.048
2286	4336	11	0.939	-163.064
1569	5397	11	0.9597	-174.015
1368	5397	11	0.9517	18.010
2803	4601	11	0.9551	156.042
