ID1,ID2,EdgeType,Score,Annotation
2947,2957,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9816
2969,2970,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0267
3004,3005,MS1 annotation,2.000,[M+K]+ [M+H]+ dm/z=37.9557
3057,3109,MS1 annotation,6.000,[M+H]+ [2M+NH4]+ dm/z=359.1221
3058,3059,MS1 annotation,2.000,[M+K]+ [M+Na]+ dm/z=15.9746
3079,3080,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0267
3093,3094,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9817
3109,3116,MS1 annotation,6.000,[2M+Na]+ [M+H]+ dm/z=364.0783
3109,3114,MS1 annotation,6.000,[M+K]+ [M+H]+ dm/z=37.9559
3114,3116,MS1 annotation,6.000,[2M+Na]+ [M+K]+ dm/z=326.1224
3138,3139,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
3138,3139,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0266
3154,3179,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9542
3259,3269,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
3259,3269,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0266
3277,3278,MS1 annotation,5.000,[M+K]+ [M+Na]+ dm/z=15.9743
3515,3517,MS1 annotation,2.000,[2M+2H]+2 [M+Na]+ dm/z=21.9818
3535,3539,MS1 annotation,4.000,[M+K]+ [M+NH4]+ dm/z=20.9287
3535,3576,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9547
3569,3573,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9818
3569,3579,MS1 annotation,3.000,[M+K]+ [M+H]+ dm/z=37.9555
3573,3579,MS1 annotation,3.000,[M+K]+ [M+Na]+ dm/z=15.9736
3690,3705,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9819
3810,3814,MS1 annotation,3.000,[M+K]+ [M+H]+ dm/z=37.9556
3810,3811,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9817
3810,3814,MS1 annotation,3.000,[M+K]+ [2M+2H]+2 dm/z=37.9556
3810,3811,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9817
3913,3922,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
3962,3969,MS1 annotation,2.000,[M+H]+ [M+K]+ dm/z=37.9556
4034,4053,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9561
4039,4040,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9818
4084,4085,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0267
