ID1,ID2,EdgeType,Score,Annotation
2931,3000,MS1 annotation,4.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0482
2931,3012,MS1 annotation,4.000,[M+H]+ [M+NH4]+ dm/z=17.0267
2949,3155,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0265
2949,3155,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0265
2987,3000,MS1 annotation,4.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0033
2999,3064,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9295
3206,3225,MS1 annotation,4.000,[M+NH4]+ [2M+H]+ dm/z=259.0585
3225,3230,MS1 annotation,4.000,[M+H]+ [M+NH4]+ dm/z=17.0265
3230,3231,MS1 annotation,4.000,[2M+NH4]+ [M+H]+ dm/z=293.1114
3329,3350,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
3443,3448,MS1 annotation,3.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0371
3443,3445,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0270
3523,3530,MS1 annotation,5.000,[M+Na]+ [M+K]+ dm/z=15.9740
3523,3527,MS1 annotation,5.000,[M+NH4]+ [M+K]+ dm/z=20.9293
3523,3531,MS1 annotation,5.000,[2M-2H2O+2H]+2 [M+K]+ dm/z=55.9661
3523,3542,MS1 annotation,5.000,[2M+2H]+2 [M+K]+ dm/z=37.9555
3527,3530,MS1 annotation,5.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
3527,3531,MS1 annotation,5.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0368
3527,3542,MS1 annotation,5.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0262
3528,3555,MS1 annotation,4.000,[M+K]+ [M+H]+ dm/z=37.9556
3528,3537,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9818
3528,3555,MS1 annotation,4.000,[M+K]+ [2M+2H]+2 dm/z=37.9556
3528,3537,MS1 annotation,4.000,[M+Na]+ [2M+2H]+2 dm/z=21.9818
3530,3531,MS1 annotation,5.000,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.9921
3530,3542,MS1 annotation,5.000,[2M+2H]+2 [M+Na]+ dm/z=21.9815
3537,3553,MS1 annotation,4.000,[M-2H2O+2H]+2 [M+Na]+ dm/z=184.0345
3537,3555,MS1 annotation,4.000,[M+K]+ [M+Na]+ dm/z=15.9738
3545,3602,MS1 annotation,2.000,[M+NH4]+ [M+K]+ dm/z=20.9289
3553,3555,MS1 annotation,4.000,[M+K]+ [M-2H2O+2H]+2 dm/z=200.0083
3612,3624,MS1 annotation,2.000,[M+Na]+ [M+K]+ dm/z=15.9738
3640,3647,MS1 annotation,2.000,[M+NH4]+ [M+K]+ dm/z=20.9296
3660,3668,MS1 annotation,4.000,[M+K]+ [M-2H2O+2H]+2 dm/z=332.0508
3660,3665,MS1 annotation,4.000,[M+NH4]+ [M-2H2O+2H]+2 dm/z=311.1216
3660,3672,MS1 annotation,4.000,[M+Na]+ [M-2H2O+2H]+2 dm/z=316.0771
3665,3668,MS1 annotation,4.000,[M+K]+ [M+NH4]+ dm/z=20.9291
3665,3672,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
3668,3672,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9737
3785,3800,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9294
3785,3806,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9739
3800,3806,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
3801,3818,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+K]+ dm/z=55.9672
3801,3811,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9739
3801,3804,MS1 annotation,4.000,[M+H]+ [M+K]+ dm/z=37.9556
3804,3811,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9817
3811,3818,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.9933
3850,3871,MS1 annotation,2.000,[M+NH4]+ [M+K]+ dm/z=20.9299
3886,3903,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0260
3886,3903,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0260
3891,3898,MS1 annotation,3.000,[M+K]+ [M+NH4]+ dm/z=20.9289
3891,3897,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9547
3949,3966,MS1 annotation,4.000,[M+NH4]+ [M+K]+ dm/z=20.9296
3949,3988,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9748
3949,3959,MS1 annotation,4.000,[2M+2H]+2 [M+K]+ dm/z=37.9567
3959,3966,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0271
3959,3988,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9818
3959,3966,MS1 annotation,4.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0271
