ID1,ID2,EdgeType,Score,Annotation
820,821,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
839,842,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0267
839,842,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0267
851,891,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0261
852,854,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0267
852,855,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
854,855,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9821
854,855,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9821
898,900,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9825
898,899,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0271
898,900,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9825
898,899,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0271
899,900,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
902,903,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9559
902,903,MS1 annotation,2.000,[M+H]+ [M-NH3+Na]+ dm/z=4.9559
936,958,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9735
958,960,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9551
965,1007,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9825
1019,1020,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9547
1019,1020,MS1 annotation,2.000,[M+H]+ [M-NH3+Na]+ dm/z=4.9547
1026,1027,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9816
1053,1055,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
1053,1055,MS1 annotation,2.000,[M+H]+ [M-NH3+Na]+ dm/z=4.9554
1076,1077,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9817
1079,1080,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0259
1079,1080,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0259
1087,1091,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9816
1103,1104,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9818
1108,1111,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
1116,1153,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9559
1116,1153,MS1 annotation,2.000,[M+H]+ [M-NH3+Na]+ dm/z=4.9559
1134,1137,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
1165,1178,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9812
1199,1201,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
1206,1210,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9558
1227,1238,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9821
1228,1235,MS1 annotation,2.000,[2M+2H]+2 [M+Na]+ dm/z=21.9824
1236,1243,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9823
1236,1243,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9823
1271,1277,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9551
1293,1295,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9551
1293,1295,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9551
1299,1300,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
1318,1323,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9563
1318,1323,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9563
1326,1329,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0266
1373,1374,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
1422,1429,MS1 annotation,3.000,[M+H]+ [2M+Na]+ dm/z=394.1971
1423,1426,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9547
1429,1431,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9819
1440,1462,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9557
1446,1447,MS1 annotation,2.000,[2M+2H]+2 [M+Na]+ dm/z=21.9816
1453,1454,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9550
1485,1486,MS1 annotation,2.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9929
1485,1486,MS1 annotation,2.000,[M+Na]+ [2M-2H2O+2H]+2 dm/z=39.9929
1511,1512,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9821
1511,1512,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9821
1516,1521,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9551
1516,1517,MS1 annotation,4.000,[M+K]+ [M+Na]+ dm/z=15.9750
1517,1521,MS1 annotation,4.000,[M+NH4]+ [M+K]+ dm/z=20.9301
1517,1519,MS1 annotation,4.000,[2M+Na]+ [M+K]+ dm/z=310.1627
1519,1521,MS1 annotation,4.000,[M+NH4]+ [2M+Na]+ dm/z=331.0928
1592,1595,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9821
1592,1597,MS1 annotation,3.000,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.9926
1635,1636,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9822
1635,1636,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9822
1638,1664,MS1 annotation,2.000,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.9931
1649,1653,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9550
1651,1654,MS1 annotation,2.000,[M+K]+ [2M+Na]+ dm/z=396.1624
1666,1672,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9821
1666,1667,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
1667,1672,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0268
1678,1683,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9558
1678,1683,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9558
1683,1689,MS1 annotation,3.000,[M+NH4]+ [2M+Na]+ dm/z=453.1856
1689,1695,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9552
1689,1695,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9552
1735,1748,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
1766,1768,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
1857,1859,MS1 annotation,2.000,[M+Na]+ [2M+H]+ dm/z=214.1572
1861,1862,MS1 annotation,2.000,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.9925
1929,1930,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9819
1936,1939,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9739
1937,1938,MS1 annotation,4.000,[M+H]+ [M+NH4]+ dm/z=17.0267
1937,1939,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
1938,1939,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9820
1943,1944,MS1 annotation,4.000,[M+K]+ [M+NH4]+ dm/z=20.9290
1943,1949,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.0379
1943,1948,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
1944,1949,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+K]+ dm/z=55.9668
1944,1948,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9736
1948,1949,MS1 annotation,4.000,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.9933
1971,1973,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9821
1971,1973,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9821
1975,1976,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9553
1975,1976,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
2019,2027,MS1 annotation,4.000,[M+NH4]+ [M+K]+ dm/z=20.9285
2019,2029,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9733
2027,2033,MS1 annotation,4.000,[2M+Na]+ [M+NH4]+ dm/z=519.2685
2027,2029,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9552
2032,2034,MS1 annotation,3.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9925
2032,2034,MS1 annotation,3.000,[M+Na]+ [2M-2H2O+2H]+2 dm/z=39.9925
2034,2035,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9821
2058,2059,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9818
2058,2059,MS1 annotation,2.000,[M+Na]+ [2M+2H]+2 dm/z=21.9818
2111,2113,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9549
2146,2147,MS1 annotation,2.000,[2M+2H]+2 [M+Na]+ dm/z=21.9816
2208,2209,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9821
2221,2223,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0267
2235,2239,MS1 annotation,3.000,[M+K]+ [M+H]+ dm/z=37.9556
2235,2240,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9815
2239,2240,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9741
2265,2268,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9818
2269,2270,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9545
2275,2276,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9560
2310,2312,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9542
2316,2318,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9548
2337,2344,MS1 annotation,2.000,[M+K]+ [M+Na]+ dm/z=15.9737
2354,2355,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9551
2354,2355,MS1 annotation,2.000,[M+H]+ [M-NH3+Na]+ dm/z=4.9551
2373,2374,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9551
2376,2380,MS1 annotation,2.000,[M+NH4]+ [M+K]+ dm/z=20.9290
2376,2380,MS1 annotation,2.000,[M+H]+ [M-NH3+K]+ dm/z=20.9290
2398,2399,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9524
2401,2404,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0268
2401,2404,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0268
2434,2435,MS1 annotation,2.000,[M+K]+ [M+Na]+ dm/z=15.9748
2447,2450,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9551
2447,2450,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9551
2450,2452,MS1 annotation,3.000,[M+K]+ [M+Na]+ dm/z=15.9747
2463,2464,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9541
2466,2473,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9822
2468,2472,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9557
2468,2472,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9557
2507,2510,MS1 annotation,2.000,[M+K]+ [M+Na]+ dm/z=15.9738
2515,2518,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9551
2515,2518,MS1 annotation,2.000,[M-NH3+Na]+ [M+H]+ dm/z=4.9551
2518,2529,MS1 annotation,3.000,[M+K]+ [M+Na]+ dm/z=15.9736
2535,2536,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9562
2535,2536,MS1 annotation,2.000,[M+H]+ [M-NH3+Na]+ dm/z=4.9562
2542,2544,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9552
2542,2544,MS1 annotation,2.000,[M+H]+ [M-NH3+Na]+ dm/z=4.9552
2557,2558,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9550
2557,2558,MS1 annotation,2.000,[M+H]+ [M-NH3+Na]+ dm/z=4.9550
2560,2561,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9542
2560,2561,MS1 annotation,2.000,[M+H]+ [M-NH3+Na]+ dm/z=4.9542
2596,2597,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9527
