CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
2287	2991	6	0.9516	-29.993
872	2141	6	0.8267	-14.016
2610	2756	6	0.8891	-14.015
5831	5859	6	0.8168	-14.016
5865	7387	6	0.8651	-52.068
5150	6389	6	0.8024	-15.028
626	977	6	0.9659	-0.005
2623	3296	6	0.8515	1.979
2736	3354	6	0.9815	-0.000
2756	3296	6	0.8536	1.979
2458	2736	6	0.9997	-0.000
2733	5149	6	0.8207	113.936
1644	2522	6	0.809	-35.981
3073	3953	6	0.8945	-14.016
1311	2141	6	0.9727	0.000
3073	3565	6	0.8644	-63.995
5849	5865	6	0.9791	0.000
5730	6389	6	0.8396	-10.021
626	2388	6	0.8217	17.993
2287	3410	6	0.9557	-0.000
4223	4600	6	0.99	-0.001
5831	5867	6	0.9443	-14.016
2736	3545	6	0.9561	-0.000
5865	5971	6	0.8615	88.089
3296	3374	6	0.8695	-63.995
5151	5214	6	1.0	-0.000
826	2736	6	0.9191	-33.984
1832	2736	6	0.9929	0.000
3374	4333	6	0.8531	15.995
977	2388	6	0.8268	17.999
2756	3073	6	0.8536	1.979
5149	7387	6	0.8124	-100.125
1612	4819	6	0.8757	-150.993
7246	7619	6	0.8075	15.996
2647	3410	6	0.9658	-0.000
1553	2754	6	0.8944	0.984
2451	2736	6	0.9385	-33.984
5150	5214	6	0.8412	-1.012
3073	3374	6	0.8695	-63.995
5259	5867	6	0.9252	-70.078
2623	2756	6	0.9921	-0.000
872	2754	6	0.8418	46.005
3410	3579	6	0.9742	-0.000
1315	2453	6	0.8421	46.005
5971	7387	6	0.9426	-140.156
2451	3768	6	0.9426	-113.084
5164	5971	6	0.8577	-26.016
2507	2610	6	0.9901	-0.000
7088	7246	6	1.0	0.000
5214	7387	6	0.7895	-98.109
5161	7387	6	0.8848	-122.146
5865	6389	6	0.8119	32.026
5161	5865	6	0.9371	-70.078
5821	5854	6	0.8848	-14.016
3683	4333	6	0.8916	-33.985
5150	5151	6	0.8412	-1.012
1635	1832	6	0.9332	-33.984
2451	3545	6	0.9281	-33.984
3374	3953	6	0.8865	49.979
2451	3170	6	0.9311	-33.984
5747	5867	6	0.9298	-42.047
2458	3170	6	0.9901	-0.000
5161	5164	6	0.884	44.026
5854	5859	6	0.8041	-60.021
5831	5913	6	0.7762	-12.036
1612	2968	6	0.95	-29.993
5151	7387	6	0.7895	-98.110
5849	6389	6	0.8161	32.026
7088	7591	6	0.8318	15.996
3073	4333	6	0.8808	-48.000
826	2458	6	0.9191	-33.984
5971	6389	6	0.8921	-56.063
3354	3545	6	0.9582	0.000
2522	5821	6	0.8501	-42.210
5149	5151	6	0.8945	-2.016
5859	5867	6	0.7933	-0.000
2507	2623	6	0.8943	-14.015
1612	2287	6	0.9972	0.000
3565	3768	6	0.8807	49.979
5747	5859	6	0.7984	-42.047
2287	2647	6	0.9659	0.000
1311	1315	6	0.817	14.016
1832	3545	6	0.9522	-0.000
626	1553	6	0.8194	17.993
5161	5971	6	0.893	18.011
1612	3579	6	0.9409	-0.000
2610	2623	6	0.8922	-14.015
5854	5865	6	0.8548	-44.026
338	1612	6	0.9374	-24.011
2968	3410	6	0.9154	29.993
2451	3953	6	0.9426	-113.084
2962	3296	6	0.8515	1.979
2507	2756	6	0.8904	-14.016
5161	5849	6	0.927	-70.078
3170	3354	6	0.9848	0.000
977	1553	6	0.8231	17.999
2388	2453	6	0.8931	0.984
1832	2458	6	0.9931	0.000
5849	5913	6	0.9391	-14.016
5730	5739	6	0.8746	44.026
7246	7591	6	0.8318	15.996
1832	2451	6	0.9355	33.984
1315	2141	6	0.8267	-14.015
6389	7387	6	0.8614	-84.094
1315	2223	6	0.779	-12.000
5739	5854	6	0.862	-42.047
5149	7591	6	0.807	-395.232
1315	2754	6	0.8418	46.005
2736	3170	6	0.9892	-0.000
1635	3768	6	0.9319	-113.084
3073	3296	6	1.0	0.000
1832	3354	6	0.9767	-0.000
1832	3170	6	0.9852	-0.000
5821	6389	6	0.8329	-26.016
107	2522	6	0.8544	34.950
3768	4333	6	0.8916	-33.985
2453	2754	6	0.9942	0.000
3565	4333	6	0.8494	15.995
5730	5913	6	0.9834	-56.063
5849	5971	6	0.8497	88.089
2451	3683	6	0.9426	-113.084
5730	5865	6	0.937	-42.047
3296	3565	6	0.8644	-63.995
826	3683	6	0.9069	-113.084
338	3410	6	0.9062	-24.011
872	2453	6	0.8421	46.005
1635	3545	6	0.9181	-33.984
2451	2458	6	0.9383	-33.984
3953	4333	6	0.8916	-33.985
2287	2968	6	0.9514	-29.993
5739	5821	6	0.9213	-28.031
5913	5971	6	0.8962	102.104
2756	2962	6	0.9921	-0.000
5164	5821	6	0.9251	-56.063
5259	5747	6	0.9669	-28.031
1635	3170	6	0.9315	-33.984
5150	5821	6	0.8437	10.988
1611	1644	6	0.9199	-15.995
5865	5913	6	0.9513	-14.016
4309	4443	7	1.0	0.000
6867	6946	8	0.9139	0.000
6744	6946	8	0.8917	-0.002
6744	6867	8	0.9256	-0.002
6867	6972	8	0.8978	0.001
6946	6972	8	0.876	0.001
6948	6972	8	0.9411	0.000
6744	6972	8	0.9245	-0.001
6744	6948	8	0.9899	-0.001
6946	6948	8	0.8978	0.001
6867	6948	8	0.9288	0.001
3153	4567	9	0.9187	31.990
5192	6072	9	0.8516	-195.235
3204	3500	9	1.0	-0.000
3201	3443	9	0.8198	-29.007
5967	5970	9	0.911	-44.026
3204	3493	9	0.8646	-1.004
6072	6073	9	0.9164	-44.026
4462	5996	9	0.7526	-55.067
3443	3500	9	0.8767	30.010
3228	5147	9	0.7331	60.996
5192	6073	9	0.8505	-239.261
3153	3201	9	0.8488	14.992
