CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
2006	5261	1	0.8814	405.037
1765	2949	1	0.9021	162.105
3006	4188	1	0.9668	-0.094
3099	4068	1	0.889	161.980
3112	3256	1	0.9159	-32.026
152	4997	1	0.9403	0.000
5097	5126	1	0.9465	-28.031
3106	3904	1	1.0	0.000
616	6690	1	0.9264	-0.000
2051	2277	1	0.9675	18.008
2555	2585	1	0.8759	144.041
282	3200	1	0.9186	-18.010
322	3904	1	0.8816	18.011
8	1957	1	1.0	0.036
2004	3354	1	0.9136	391.079
2026	7222	1	1.0	0.001
1957	5162	1	0.9181	-0.000
1765	4253	1	0.8848	370.179
1962	1976	1	0.9091	-17.026
3804	6132	1	0.9073	25.979
616	776	1	0.8713	-194.078
3112	6690	1	0.9807	0.000
1976	1993	1	0.9279	-357.094
4377	4761	1	0.8815	-14.017
2069	2255	1	0.8785	-374.121
1993	3179	1	0.9483	225.052
2852	2859	1	0.8659	68.007
322	6690	1	0.963	-14.015
3283	5105	1	0.8999	-14.021
2006	2320	1	0.9662	-18.010
776	2298	1	0.865	-49.054
1976	3179	1	0.9248	-132.042
2051	3354	1	0.8704	356.042
1957	5144	1	0.888	0.000
3522	4667	1	0.8768	-0.021
4068	5118	1	0.9292	0.073
2796	3099	1	0.902	-161.944
5118	5162	1	0.9463	-0.000
776	5184	1	0.8879	-14.018
2051	2069	1	0.9101	374.120
2051	2255	1	0.9219	-0.001
1458	3904	1	0.8781	-25.979
1765	2859	1	0.8687	33.857
2006	3522	1	0.8861	405.038
3256	4997	1	0.9205	31.953
4255	5217	1	0.8978	-256.096
3099	5162	1	0.8862	162.053
2069	6860	1	0.8642	-14.026
1594	5184	1	0.9169	77.082
152	6690	1	0.9511	0.073
1404	5118	1	0.9064	0.036
5118	5261	1	0.8718	-162.179
616	3256	1	0.9277	-32.026
4937	6132	1	0.9334	0.000
1976	2202	1	0.8811	16.991
322	3106	1	0.8816	18.011
1765	4310	1	0.9049	-126.969
4253	4622	1	0.9085	-335.093
5097	5105	1	0.9354	49.051
1765	4622	1	0.9072	35.086
960	6690	1	0.9615	14.015
776	2019	1	0.9059	-77.085
2320	3522	1	0.874	423.048
1993	2051	1	0.8981	18.011
248	2949	1	0.9532	-64.034
1957	2796	1	0.934	-0.109
2202	3179	1	0.8716	-149.033
2202	2260	1	0.8803	-194.022
1962	3179	1	0.9172	-149.068
3522	5261	1	0.8999	-0.001
4068	5162	1	0.9304	0.073
1404	1957	1	0.9205	0.036
1953	3146	1	0.8835	-0.000
3179	4255	1	0.9188	-14.017
1765	4637	1	0.8937	-27.982
2260	2277	1	0.9118	-144.044
8	1404	1	0.9205	0.000
4997	6690	1	0.926	0.073
4307	6860	1	0.9062	32.071
3073	6615	2	0.8084	14.031
6588	6615	2	0.7796	-0.006
6551	6588	2	0.8236	0.021
4093	4765	3	0.7474	-17.030
650	4093	3	0.7535	30.986
151	3711	3	0.8795	16.975
3711	4765	3	0.8796	-17.035
151	185	3	0.9527	-28.031
650	4765	3	0.9468	13.956
228	4093	3	0.8874	-0.057
228	4765	3	0.8703	-17.087
185	4765	3	0.9506	27.971
650	3711	3	0.8772	30.990
185	228	3	0.8729	45.058
228	650	3	0.8761	-31.042
4093	7180	3	0.725	-431.174
228	3711	3	0.9831	-0.052
3711	4093	3	0.8855	-0.005
185	650	3	0.9532	14.016
151	4765	3	0.9684	-0.060
151	7180	3	0.9186	-414.204
3711	7180	3	0.8264	-431.178
185	7180	3	0.9236	-386.173
228	7180	3	0.8188	-431.231
