CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
4379	4548	9	0.9141	86.008
1617	3607	9	0.9055	-66.049
4379	5003	9	0.939	50.037
424	1284	9	0.9678	2.019
1284	1377	9	0.9143	-438.123
1284	1617	9	0.9476	15.993
1284	4548	9	0.9724	11.998
424	2850	9	0.9531	-108.100
4562	5003	9	0.9404	-15.992
3933	4570	9	0.9123	-27.029
4553	4562	9	0.9391	-35.974
3933	4552	9	0.9831	-390.156
4548	5003	9	0.9309	-35.971
4552	4570	9	0.9185	363.127
4379	4552	9	0.9461	-340.114
1560	1617	9	0.9495	-96.021
1560	4553	9	0.9409	-84.022
4548	4553	9	0.9617	15.995
4552	5003	9	0.9683	390.150
399	673	11	0.942	-18.012
472	4119	12	0.8309	104.025
472	701	12	0.8373	-2.015
472	3778	12	0.8397	118.041
3778	4119	12	0.9107	-14.016
701	4119	12	0.9093	106.039
666	701	12	0.7352	13.979
666	4119	12	0.8034	120.019
666	1603	12	0.9002	30.011
701	3778	12	0.9044	120.055
991	1927	13	0.9641	4.031
453	2489	13	0.9336	2.008
915	2273	13	0.8301	-37.979
612	1252	13	0.9574	-2.014
1081	2273	13	0.8376	297.378
1081	1101	13	0.8683	55.188
453	1870	13	0.8828	144.048
612	803	13	0.9561	-6.047
803	1927	13	0.9549	-19.967
1557	4639	13	0.7464	100.124
1081	4639	13	0.748	455.470
1101	5212	13	0.9445	214.157
963	3500	13	0.887	74.036
2273	3681	13	0.798	19.050
742	4443	13	0.7669	84.065
453	2273	13	0.8535	279.373
742	2273	13	0.7879	-242.151
803	1252	13	0.9553	4.032
742	915	13	0.7842	-204.172
4449	5031	13	0.789	168.103
915	4639	13	0.812	120.114
1081	5212	13	0.8838	269.345
1870	3500	13	0.8583	219.309
915	3681	13	0.8351	-18.928
285	5212	13	0.95	-68.028
2273	5212	13	0.854	-28.032
453	1081	13	0.9225	-18.005
3500	3681	13	0.7798	-64.933
963	4462	13	0.905	-252.137
612	1927	13	0.9481	-26.014
3500	4997	13	0.8428	-174.124
453	915	13	0.857	317.351
572	3500	13	0.8894	68.062
453	1101	13	0.9402	37.183
1252	1927	13	0.9469	-24.000
453	5212	13	0.9469	251.340
612	1101	13	0.9438	232.185
4443	4449	13	0.7792	-342.119
453	3681	13	0.8392	298.423
742	3681	13	0.7682	-223.100
915	1081	13	0.8376	-335.356
1081	3681	13	0.8126	316.428
3681	5212	13	0.8315	-47.083
246	4452	14	0.9752	78.031
2849	5323	14	0.9783	0.001
547	2783	14	0.9715	204.173
2281	4147	14	0.9214	160.042
4452	4601	14	0.9732	-12.000
1305	4296	14	1.0	-0.000
428	4572	14	0.9595	-36.002
1378	2782	14	0.9472	-72.058
2093	2687	14	0.9871	333.231
323	2093	14	0.9783	27.939
3339	3378	14	0.9775	-0.036
2702	2776	14	0.9377	-342.119
397	951	14	0.9197	28.031
2092	2093	14	0.9829	-76.052
4147	4167	14	0.9624	-142.030
547	2092	14	0.9725	52.089
1379	4601	14	0.9748	-0.000
2152	2281	14	0.9098	-150.093
246	1379	14	0.974	66.031
1000	3248	14	1.0	0.000
2660	4572	14	0.9613	-68.006
2663	2687	14	0.9822	79.114
345	2660	14	0.9761	44.080
2093	2783	14	0.9843	228.137
1029	4452	14	0.9423	-72.058
4147	4296	14	0.9535	-94.009
1326	2092	14	0.9789	-15.998
632	1326	14	0.9837	-0.013
2984	4601	14	0.9722	-0.001
1776	2742	14	0.9363	-84.022
1395	4601	14	0.9646	-96.022
459	760	14	0.9822	-29.972
1379	4269	14	0.9393	94.006
2687	3372	14	0.9777	-249.247
1305	5214	14	0.9536	-14.012
2676	3339	14	1.0	0.001
246	732	14	0.9687	-0.000
2687	4446	14	0.9802	-451.224
345	632	14	0.9708	44.080
459	3372	14	0.9817	68.063
1395	4452	14	0.9749	-84.022
