formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id	featureId
1	C18H30N12O2	[M + H]+	C18H30N12O2	0.9381909547738694	37.82594317449182	37.82594317449182	0.0	10	0.415732003340592	7.928051221984461	7.928051221984461	-2.0673342665005645		447.26782	151.0	280_clematis_10_species_crop2-10min_231127_orbi_siri_283	283
1	C23H33N5O4	[M + Na]+	C23H33N5O4	0.827638190954774	16.666524622396942	15.821051174400651	0.8454734479962912	6	0.8509725457405084	4.528703927062943	4.528703927062943	-1.963008382558838		466.24156	151.0	281_clematis_10_species_crop2-10min_231127_orbi_siri_284	284
1	C18H21NO3	[M + H]+	C18H21NO3	0.9999999999999999	93.27203059107705	85.42316060861003	7.8488699824670185	46	0.9700833301233902	3.8127423194748618	3.8127423194748618	-0.999416877727319		300.15912	147.95	282_clematis_10_species_crop2-10min_231127_orbi_siri_285	285
1	C16H20O9	[M + K]+	C16H20O9	0.9311557788944724	9.62001865454456	3.45105040933613	6.168968245208431	1	0.0	0.599077219371713	0.599077219371713	0.6066707265751268		395.07413	151.15	283_clematis_10_species_crop2-10min_231127_orbi_siri_286	286
1	C24H24O5	[M + Na]+	C24H24O5	0.5698492462311558	7.498406476786803	6.52894974101818	0.969456735768623	3	0.42424531299650464	-1.4297643244609337	1.4297643244609337	-1.022683112088605		415.15117	151.46	284_clematis_10_species_crop2-10min_231127_orbi_siri_287	287
1	C17H22O10	[M + Na]+	C17H22O10	0.9587939698492463	9.415805841506693	3.383123619118834	6.032682222387859	1	0.0	1.3868993783351926	1.3868993783351926	1.3991209806703417		409.11109	152.47	285_clematis_10_species_crop2-10min_231127_orbi_siri_288	288
1	C11H18NO2	[M + Na]+	C11H18NO2	0.9999999999999999	77.50929692583651	77.50929692583651	0.0	18	0.5649429510143946	4.830920357689768	4.830920357689768	-0.5226113357046475		219.12286	151.66	286_clematis_10_species_crop2-10min_231127_orbi_siri_289	289
1	C16H31NO10	[M + H]+	C16H31NO10	0.9552763819095479	101.91938319823609	98.440472891543	3.478910306693092	20	0.9145831886709989	6.0348102339772405	6.0348102339772405	0.9225355562236357		398.20244	151.66	287_clematis_10_species_crop2-10min_231127_orbi_siri_290	290
1	C19H23N5O7	[M + H]+	C19H23N5O7	0.8763819095477388	160.92164792374837	157.4646359156197	3.4570120081286473	29	0.7131580806640271	2.232760246181264	3.825003701390923	-1.369355273544831		434.16643	152.31	288_clematis_10_species_crop2-10min_231127_orbi_siri_291	291
1	C17H19NO10	[M + H]+	C17H19NO10	0.9999999999999999	68.16691206120883	64.7056922547273	3.4612198064815365	24	0.9775733127446988	7.44803827057823	7.44803827057823	1.02419272014342		398.10858	152.28	290_clematis_10_species_crop2-10min_231127_orbi_siri_293	293
