CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
6474	7087	3	0.9223	0.001
3738	3800	3	0.8545	-96.021
3800	4630	3	0.8521	67.990
4944	5952	3	0.7047	-70.137
6018	7366	3	0.8555	15.995
1281	3777	3	0.9109	-0.001
4944	6428	3	0.731	-132.991
4749	6012	3	0.8134	-131.039
6718	7366	3	0.8475	15.996
3527	3800	3	0.8495	-82.006
6473	6848	3	0.8824	-18.010
4747	5186	3	0.9566	0.041
1706	3242	3	0.8232	293.111
4749	6428	3	0.8375	-165.007
2362	4527	3	0.771	281.095
3527	3738	3	0.8979	14.015
6305	6848	3	0.8868	-18.011
2362	3862	3	0.891	264.083
4864	5952	3	0.7887	-71.140
4747	4986	3	0.9742	0.040
4335	5952	3	0.7975	-67.115
960	1281	3	0.9334	-4.055
1299	3012	3	0.9549	17.027
6308	6473	3	0.9374	18.010
4986	6473	3	0.9186	18.010
3129	4335	3	0.7789	-78.013
1281	2931	3	0.9511	-17.027
4335	4623	3	0.7605	-0.019
6308	6848	3	0.9226	0.000
2723	3129	3	0.7836	31.023
6305	6473	3	0.9883	-0.001
5062	5952	3	0.7238	-72.099
2723	3917	3	0.8613	-12.000
6022	6305	3	0.8372	18.011
6012	6718	3	0.9194	-17.027
960	3012	3	0.9371	-4.055
2362	3202	3	0.7711	-12.002
4986	5186	3	0.9643	0.000
4747	6473	3	0.9345	18.050
1299	5061	3	0.8577	-0.001
3777	3862	3	0.8844	-17.027
2931	3012	3	0.9595	17.027
5062	5236	3	0.8282	0.000
6022	6718	3	0.8636	-179.080
2362	2931	3	0.9022	264.083
3012	3862	3	0.9328	-17.027
4749	5952	3	0.8965	-102.153
2723	3527	3	0.8792	-12.000
4749	6745	3	0.7928	-165.007
6018	6022	3	0.9223	179.079
3738	3917	3	0.8868	-14.015
1299	3777	3	0.8882	17.026
4864	6428	3	0.8045	-133.994
3242	3531	3	0.7479	-13.012
1706	3202	3	0.8434	13.003
2582	2673	3	0.7554	162.053
4335	6428	3	0.7283	-129.969
4335	4749	3	0.7741	35.038
4872	6518	3	0.9596	-162.034
4747	4871	3	0.8275	18.050
5952	6745	3	0.8561	-62.854
4871	6305	3	0.899	0.001
5952	6428	3	0.9101	-62.854
4986	6313	3	0.8688	-478.074
6022	6473	3	0.8337	18.010
6313	6518	3	0.9335	-324.089
2931	5061	3	0.8629	-0.000
4986	6308	3	0.9776	0.000
5186	6308	3	0.9399	0.000
6308	7087	3	0.8637	0.000
4871	6473	3	0.8974	-0.000
6012	6018	3	0.971	-17.026
2582	2723	3	0.8902	-17.026
3800	3917	3	0.8352	82.006
4871	6022	3	0.8753	-18.010
3242	4749	3	0.8178	-48.000
6012	6022	3	0.9042	162.053
6305	7087	3	0.8625	-18.010
1281	3012	3	0.9856	0.000
5062	6428	3	0.7384	-134.953
3660	6022	3	0.8146	-36.000
6428	6745	3	0.8865	-0.000
3012	3777	3	0.9244	-0.001
4747	6308	3	0.9686	0.041
3527	3917	3	0.9453	0.000
3738	4630	3	0.8965	-28.031
5186	6848	3	0.917	0.000
4747	6305	3	0.9417	18.051
1299	2362	3	0.8977	-264.084
4872	6313	3	0.9577	162.054
4747	6848	3	0.9327	0.041
5984	6718	3	0.7489	-2.016
6018	6718	3	0.9288	-0.001
4864	6745	3	0.7645	-133.994
4986	6305	3	0.9282	18.011
6308	6313	3	0.8579	-478.074
4747	6313	3	0.8539	-478.034
1299	3862	3	0.9644	-0.001
6305	6308	3	0.9469	-18.011
3917	4630	3	0.9385	-14.016
3527	4630	3	0.9668	-14.016
6848	7087	3	0.8914	0.000
4747	7087	3	0.8623	0.041
4986	6848	3	0.9232	0.000
1281	3862	3	0.9321	-17.027
960	3777	3	0.8707	-4.055
5186	6313	3	0.8508	-478.074
3862	5061	3	0.8593	0.000
1299	2931	3	0.9895	-0.000
1281	1299	3	0.9506	-17.027
9695	12382	4	0.7951	-126.177
11806	12065	4	0.821	-40.033
9795	12382	4	0.7881	-112.161
12065	12233	4	0.8425	-14.015
9695	11814	4	0.7968	-110.143
11814	11913	4	0.8202	-14.018
9695	11903	4	0.7853	-98.146
11785	12382	4	0.7762	-154.099
11903	12233	4	0.806	-40.031
11259	11903	4	0.7947	-154.099
11537	11806	4	0.7032	30.011
9795	11903	4	0.7675	-84.130
11537	12065	4	0.7038	-10.022
11903	11913	4	0.8936	-26.016
9695	9795	4	0.739	-14.016
11165	11171	4	0.7672	-0.011
11259	11785	4	0.8519	-28.031
11635	11903	4	0.7346	-12.000
9695	11806	4	0.8006	-84.130
11259	12233	4	0.7584	-194.130
11806	11814	4	0.9009	-26.014
11913	12382	4	0.8762	-2.015
11635	11806	4	0.7309	2.016
9695	11913	4	0.7989	-124.162
6665	9795	4	0.7046	-400.246
11259	11806	4	0.8347	-140.083
11168	11171	4	0.7798	-0.015
11635	12233	4	0.7075	-52.031
11165	11168	4	0.8213	0.004
11903	12065	4	0.7812	-26.017
11806	12233	4	0.8282	-54.047
11165	11537	4	0.7669	15.998
11903	12382	4	0.8823	-28.031
11168	11537	4	0.7734	15.994
11171	11537	4	0.7725	16.009
9795	11913	4	0.7834	-110.146
11806	11903	4	0.8133	-14.016
11259	12065	4	0.7604	-180.115
5746	6618	5	0.7788	-14.016
856	882	5	0.9306	-30.011
856	2718	5	0.9074	-78.032
3026	3032	5	0.7874	-0.983
5560	7113	5	0.7499	-12.036
4353	4369	5	0.812	276.085
4369	4371	5	0.8414	-342.095
5554	5746	5	0.8359	-27.994
1511	4370	5	0.8315	16.990
4240	7113	5	0.8676	-42.047
5675	6907	5	0.7656	-42.047
2125	4263	5	0.9514	-29.994
3926	4433	5	0.781	1.979
753	882	5	0.9666	48.021
5264	5940	5	0.8709	49.979
4368	4369	5	0.8985	-17.027
1562	3072	5	0.7427	31.989
6827	6907	5	0.7616	15.959
4806	4892	5	0.8275	-63.995
5560	5746	5	0.7844	-13.979
717	937	5	0.9083	-12.036
3908	5482	5	0.7689	-42.047
2158	2169	5	0.887	78.032
4433	6588	5	0.7779	-48.000
1562	3062	5	0.9631	-0.000
2077	3095	5	0.7848	26.052
880	3439	5	0.8598	-60.036
4537	5313	5	0.8645	-33.985
4240	4551	5	0.7921	-0.000
3423	5627	5	0.9254	-113.084
3423	3443	5	0.9091	-33.984
788	2718	5	0.7618	-14.017
6907	7113	5	0.8866	0.000
1511	3458	5	0.8562	-33.026
882	2718	5	0.9325	-48.021
1751	2670	5	0.7755	49.020
1511	3072	5	0.8747	16.990
