CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
3699	3882	7	0.8618	-27.995
3716	4352	7	0.8381	-132.042
3729	4344	7	0.8109	0.000
3700	4305	7	0.8668	-15.994
3694	4294	7	0.9564	0.000
3882	4984	7	0.8515	-2.015
3858	4129	7	0.8736	15.997
3602	3861	7	0.8803	176.032
3729	3900	7	0.8124	-42.047
3694	3699	7	0.8723	27.995
4291	4305	7	0.8961	-15.995
3912	4292	7	0.8823	-30.010
4288	4352	7	0.8738	162.053
3602	3858	7	0.9208	43.989
3861	3915	7	0.8293	-42.011
3915	3917	7	0.9088	-132.042
3805	3996	7	0.8916	-42.011
3915	3996	7	0.7928	-278.100
3728	4352	7	0.8575	15.994
3602	3917	7	0.8281	1.979
3917	4105	7	0.822	174.054
3877	4346	7	0.853	18.011
3730	4347	7	0.9222	-0.175
3915	4105	7	0.8242	42.011
3918	3996	7	0.8918	-17.026
3882	4384	7	0.8899	27.995
3900	5131	7	0.826	13.979
3861	3917	7	0.8446	-174.053
3805	3916	7	0.8917	179.079
3916	4291	7	0.883	162.053
3877	3882	7	0.8556	18.011
3728	3858	7	0.8491	-179.082
3858	4305	7	0.9251	179.081
4022	4028	7	0.7032	326.596
4344	4383	7	0.8202	-0.001
3860	4383	7	0.9117	-0.000
4127	4129	7	0.7396	3.009
4386	4387	7	0.8601	-132.042
3882	4346	7	0.9347	0.000
3700	4288	7	0.8685	-162.052
3900	4468	7	0.9074	-0.000
4022	4129	7	0.7451	164.544
3912	4352	7	0.9184	0.000
3900	4031	7	0.9124	0.000
3891	3918	7	0.7503	196.105
3695	4299	7	0.9362	0.000
3974	4129	7	0.9623	43.991
3728	4291	7	0.8627	15.994
3974	4028	7	0.8626	206.043
3886	4346	7	0.8316	-27.995
3694	4346	7	0.9399	0.000
3694	4384	7	0.8901	27.995
3602	4305	7	0.8948	223.070
3805	4292	7	0.8476	311.122
3805	3858	7	0.8655	146.057
4294	4346	7	0.9436	0.000
4031	4383	7	0.8487	42.047
4028	4466	7	0.9168	-0.000
3913	4292	7	0.913	0.001
3805	4288	7	0.91	179.080
4384	4386	7	0.8729	-46.005
4299	4384	7	0.856	46.005
3716	3910	7	0.8869	-0.000
3694	4984	7	0.8493	-2.016
4299	4347	7	0.9515	0.000
3700	3735	7	0.8422	-14.016
3915	3918	7	0.7483	-261.074
4291	4292	7	0.9071	-30.010
4291	4352	7	0.9497	0.000
3730	4386	7	0.9505	-0.175
3763	4105	7	0.8195	277.068
3695	4305	7	0.8496	-312.105
3699	4299	7	0.8406	-46.005
3912	4291	7	0.9158	0.000
3602	3728	7	0.8417	223.071
4294	4984	7	0.8464	-2.016
4294	4385	7	0.9394	-0.000
3891	4088	7	0.8251	15.996
3699	3877	7	0.868	-46.006
3700	4352	7	0.9329	0.001
4347	4387	7	0.8652	-132.043
4984	5131	7	0.881	13.979
3882	4468	7	0.8532	-2.016
4288	4292	7	0.8912	132.042
3912	3913	7	0.8866	-30.011
4031	4984	7	0.9342	-0.000
3916	4352	7	0.8799	162.053
3912	4288	7	0.8634	-162.053
4288	4291	7	0.8849	162.053
3695	3730	7	0.9644	0.175
3699	4384	7	0.9481	0.000
3763	3917	7	0.8009	103.015
3735	4291	7	0.8483	14.017
3882	4385	7	0.9696	0.000
