CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
493	674	5	0.9261	43.991
744	1027	5	0.9246	-15.995
1091	1221	5	0.95	15.995
494	770	5	0.9346	-13.976
726	848	5	0.9649	15.994
274	620	5	0.9806	0.000
62	1592	5	0.9284	-60.167
493	1176	5	0.9264	-176.011
506	1221	5	0.9414	324.106
726	770	5	0.9341	146.059
700	1222	5	0.9264	86.129
751	1638	5	0.9256	-74.108
714	1431	5	0.9763	15.958
1397	1638	5	0.9694	-30.047
1201	1666	5	0.9542	-14.052
274	614	5	0.972	0.005
110	394	5	0.924	0.021
508	622	5	0.9734	162.053
274	278	5	0.9382	-162.053
278	620	5	0.9389	162.053
828	1027	5	0.9382	146.056
770	799	5	0.9296	29.971
278	674	5	0.9414	-42.010
744	1120	5	0.9459	15.995
274	674	5	0.9326	-204.063
394	678	5	0.961	-14.016
465	520	5	0.9436	43.988
1027	1165	5	0.9274	15.996
274	336	5	0.9382	-162.053
506	601	5	0.977	162.053
510	617	5	0.9448	-225.015
506	1015	5	0.9422	178.048
110	1809	5	0.9494	-58.093
735	1228	5	0.934	-20.063
714	1592	5	0.945	-30.083
779	928	5	0.9299	29.974
678	735	5	0.9272	27.995
754	1397	5	0.9455	-0.000
196	1222	5	0.926	12.019
582	584	5	0.946	-43.989
465	494	5	0.9525	13.978
1148	1397	5	0.9377	46.042
336	674	5	0.9431	-42.010
1431	1638	5	0.9713	-44.026
714	1397	5	0.9651	1.979
726	799	5	0.9347	176.031
1210	1466	5	0.9306	-37.978
278	411	5	0.9395	-51.995
275	394	5	0.9306	-54.011
779	1227	5	0.939	176.033
1638	2029	5	0.9382	-98.073
336	508	5	0.9342	-306.095
506	582	5	0.9288	192.063
592	632	5	0.9461	-108.022
278	335	5	0.9322	-146.058
1013	1959	6	0.9313	0.000
1643	1755	6	0.9078	-26.016
1956	1957	6	0.8959	-14.016
769	1013	6	0.9176	162.051
1694	1695	6	0.8271	-183.027
1557	1760	6	0.9177	1.979
683	1013	6	0.9588	1.979
1013	1690	6	0.8767	18.011
627	1695	6	0.9102	34.006
858	860	6	0.8791	-281.197
1699	1700	6	0.9395	-265.204
858	1013	6	0.9641	-14.016
443	474	6	0.8423	-2.016
460	923	6	0.8384	-30.010
777	1698	6	0.8792	180.062
1175	1695	6	0.8783	13.980
894	1755	6	0.8924	180.062
1549	1755	6	0.9672	1.979
377	381	6	0.8802	15.973
485	747	6	0.8694	162.053
443	1050	6	0.8451	2.015
777	894	6	0.944	-14.016
1615	1690	6	0.9314	-14.016
858	1615	6	0.891	18.011
1550	1558	6	0.8839	39.959
892	1028	6	0.8746	-4.033
777	1699	6	0.8256	-85.143
316	797	6	0.8273	2.017
443	797	6	0.8359	-1.978
1013	1958	6	0.8621	14.016
859	1014	6	0.8736	-14.017
443	1013	6	0.8801	15.994
460	1028	6	0.8257	-18.048
893	1049	6	0.9288	-14.018
475	1014	6	0.8592	18.009
641	777	6	0.9036	-2.013
474	1959	6	0.8535	18.010
460	1958	6	0.8225	-16.032
1755	1957	6	0.8903	0.000
769	894	6	0.8618	-2.016
485	585	6	0.9186	15.994
1757	1761	6	0.8308	-21.982
1690	1959	6	0.8362	-18.010
1523	1524	6	0.8781	-1.003
282	1523	6	0.8207	113.942
643	925	6	0.8792	148.075
1694	1879	6	0.8252	-151.000
1699	1956	6	0.8709	265.205
585	923	6	0.8932	162.054
1643	1698	6	0.9165	-12.000
769	1959	6	0.8928	162.051
858	884	6	0.8613	-279.182
585	641	6	0.8401	13.979
858	892	6	0.8856	2.016
380	474	6	0.9461	-14.016
643	1694	6	0.8457	178.048
1014	1049	6	0.8539	2.015
1523	1525	6	0.8945	-2.016
460	892	6	0.8628	-14.015
1028	1956	6	0.898	18.012
1524	1525	6	0.8412	-1.012
892	923	6	0.8571	-15.995
1028	1698	6	0.9441	18.012
1012	1959	6	0.8462	-0.173
892	893	6	0.8391	-1.003
474	1013	6	0.8465	18.010
