	feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final
40731	1326	901	Fatty acids	0.75	Glycerophospholipids	0.75	Glycerophosphocholines	0.75	3.0	0.80350894	ISDB	http://www.wikidata.org/entity/Q27145043	UATOAILWGVYRQS-HHHXNRCGSA-N	InChI=1S/C28H58NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-28(31)34-25-27(30)26-36-37(32,33)35-24-23-29(2,3)4/h27,30H,5-26H2,1-4H3/t27-/m1/s1	CCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[N+](C)(C)C	C28H58NO7P		551.395089826	1-Eicosanoyl-sn-glycero-3-phosphocholine	UATOAILWGVYRQS	Fatty acids	Glycerophospholipids	Glycerophosphocholines	http://www.wikidata.org/entity/Q2557995	Aphis gossypii	1026471.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hemiptera']	['Aphididae']	['Aphidini']	['Aphis']	['Aphis gossypii']		['Eukaryota']									1	3	5.714035749435425	1
40717	1320	1290	Fatty acids	1.0	Fatty Acids and Conjugates	1.0	Hydroxy fatty acids	1.0	5.0	0.0	MS1_match	http://www.wikidata.org/entity/Q82249981	HVCNSAJVIFXBHU-UHFFFAOYSA-N	InChI=1S/C5H8O4/c6-3-4(7)1-2-5(8)9/h6H,1-3H2,(H,8,9)	O=C(O)CCC(=O)CO	C5H8O4	pos_1_1proton	132.042258736	Pentanoic acid, 5-hydroxy-4-oxo-	HVCNSAJVIFXBHU	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	http://www.wikidata.org/entity/Q15236257	Clematis delavayi	72769.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Ranunculaceae']	['Anemoneae']	['Clematis']	['Clematis delavayi']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Ranunculaceae']	['Anemoneae']	['Clematis']		8	3	9.5	1
40643	1315	-1							2.0	0.2864837	ISDB	http://www.wikidata.org/entity/Q105197290	OQWQQASPTCXQLO-LMMKCTJWSA-N	InChI=1S/C19H26O3/c1-18(2)16-6-5-12-9-13(11-20)15(22-4)10-14(12)19(16,3)8-7-17(18)21/h5-6,9-10,16-17,20-21H,7-8,11H2,1-4H3/t16-,17-,19+/m1/s1	COc1cc2c(cc1CO)C=C[C@@H]1C(C)(C)[C@H](O)CC[C@@]21C	C19H26O3		302.188194692	(2R,4aR,10aS)-7-(hydroxymethyl)-6-methoxy-1,1,4a-trimethyl-2,3,4,10a-tetrahydrophenanthren-2-ol	OQWQQASPTCXQLO	Terpenoids	Diterpenoids	Podocarpane diterpenoids	http://www.wikidata.org/entity/Q2681906	Flueggea virosa	351505.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Phyllanthaceae']	['Phyllantheae']	['Flueggea']	['Flueggea virosa']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	0	5.145934820175171	1
40632	1313	75	Alkaloids	0.631578947368421	Sesquiterpenoids	0.42105263157894735	Agarofuran sesquiterpenoids	0.3157894736842105	2.0	0.5841438	ISDB	http://www.wikidata.org/entity/Q104253073	KZTYPOGXRFTJBN-QUPJTARXSA-N	InChI=1S/C35H34N4O6/c1-7-18-15(3)22-11-23-16(4)20(9-10-28(41)42)32(38-23)30-31(35(44)45-6)34(43)29-17(5)24(39-33(29)30)12-26-19(8-2)21(14-40)27(37-26)13-25(18)36-22/h7,11-14,16,20,31,38,40H,1,8-10H2,2-6H3,(H,41,42)/b21-14-,23-11?,24-12?,25-13?,32-30?	C=CC1=C(C)C2=NC1=CC1=NC(=C(CC)/C1=C/O)C=C1N=C3C(=C1C)C(=O)C(C(=O)OC)C3=C1NC(=C2)C(C)C1CCC(=O)O	C35H34N4O6		606.247834808	Phaeophorbide b	KZTYPOGXRFTJBN	Alkaloids			http://www.wikidata.org/entity/Q37083	Olea europaea	23729.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Lamiales']	['Oleaceae']	['Oleeae']	['Olea']	['Olea europaea']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	1	6.836575269699097	1
40621	1310	150	Alkaloids	0.5	Peptide alkaloids	0.5	Simple amide alkaloids	0.5	3.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27295557	TZZAKSLHHIJRLL-UHFFFAOYSA-N	InChI=1S/C8H9NO3/c1-12-7-4-5(8(9)11)2-3-6(7)10/h2-4,10H,1H3,(H2,9,11)	COc1cc(C(N)=O)ccc1O	C8H9NO3	pos_2MH	167.058243148	4-Hydroxy-3-methoxybenzamide	TZZAKSLHHIJRLL	Alkaloids	Peptide alkaloids	Simple amide alkaloids	http://www.wikidata.org/entity/Q3205948	Naravelia zeylanica	274607.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Ranunculaceae']	['Anemoneae']	['Naravelia']	['Naravelia zeylanica']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Ranunculaceae']	['Anemoneae']			7	3	8.5	1
40620	1307	27	Fatty acids	0.29473684210526313	Sesquiterpenoids	0.11578947368421053	Glycosyldiacylglycerols	0.06315789473684211	1.0	0.28718495	ISDB	http://www.wikidata.org/entity/Q105145765	KTFHNNJQQWKFQS-XSQKZGFSSA-N	InChI=1S/C27H44O11S/c1-3-14-4-6-16-15-5-7-18-23(19(30)9-11-27(18,13-29)17(15)8-10-26(14,16)2)37-25-22(32)24(38-39(33,34)35)21(31)20(12-28)36-25/h3,14-25,28-32H,1,4-13H2,2H3,(H,33,34,35)/t14-,15-,16-,17-,18-,19-,20+,21+,22+,23+,24-,25-,26-,27-/m0/s1	C=C[C@H]1CC[C@H]2[C@@H]3CC[C@H]4[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](OS(=O)(=O)O)[C@H]5O)[C@@H](O)CC[C@]4(CO)[C@H]3CC[C@@]12C	C27H44O11S		576.260433228	[(2R,3R,4S,5R,6R)-2-[[(3S,4R,5R,8S,9S,10S,13S,14S,17R)-17-ethenyl-3-hydroxy-10-(hydroxymethyl)-13-methyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-4-yl]oxy]-3,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl] hydrogen sulfate	KTFHNNJQQWKFQS	Terpenoids	Steroids	Pregnane steroids	http://www.wikidata.org/entity/Q2230543	Ptilocaulis spiculifer	1065726.0	['Eukaryota']	['Metazoa']	['Porifera']	['Demospongiae']	['Axinellida']	['Axinellidae']	['Unknown']	['Ptilocaulis']	['Ptilocaulis spiculifer']		['Eukaryota']									1	0	2.148739814758301	1
40537	1304	70	Terpenoids	1.0	Sesquiterpenoids	1.0	Aristolane sesquiterpenoids	0.3157894736842105	54.0	0.0	MS1_match	http://www.wikidata.org/entity/Q104992252	FAGPISMIHLVLSK-JWFUOXDNSA-N	InChI=1S/C15H20O/c1-9-7-11(16)8-10-5-6-12-13(14(12,2)3)15(9,10)4/h5-6,8-9,12-13H,7H2,1-4H3/t9-,12-,13+,15+/m1/s1	C[C@@H]1CC(=O)C=C2C=C[C@@H]3[C@@H](C3(C)C)[C@]21C	C15H20O	pos_1_1proton1isopropanol	216.15141526	Aristola-1(10),8-dien-2-one	FAGPISMIHLVLSK	Terpenoids	Sesquiterpenoids	Aristolane sesquiterpenoids	http://www.wikidata.org/entity/Q24853263	Nardostachys jatamansi	24101.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']	['Unknown']	['Nardostachys']	['Nardostachys jatamansi']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Caprifoliaceae']				6	3	7.5	1
40525	1301	430	Fatty acids	0.6666666666666666	Fatty acyls	0.5	Oxygenated hydrocarbons	0.5	7.0	0.2501151	ISDB	http://www.wikidata.org/entity/Q76512309	SKUYODQAHZTUFS-LBFZIJHGSA-N	InChI=1S/C35H71NO4/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-33(38)32(31-37)36-35(40)34(39)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h32-34,37-39H,3-31H2,1-2H3,(H,36,40)/t32-,33+,34+/m0/s1	CCCCCCCCCCCCCCC[C@@H](O)C(=O)N[C@@H](CO)[C@H](O)CCCCCCCCCCCCCCC	C35H71NO4		569.538309752	Pecipamide	SKUYODQAHZTUFS	Fatty acids	Sphingolipids	Ceramides	http://www.wikidata.org/entity/Q41631633	Polyporus picipes	5300128.0	['Eukaryota']	['Fungi']	['Basidiomycota']	['Agaricomycetes']	['Polyporales']	['Polyporaceae']	['Unknown']	['Polyporus']	['Polyporus picipes']		['Eukaryota']									1	1	2.500460386276245	1
40471	1297	144	Fatty acids	0.8571428571428571	Diterpenoids	0.5714285714285714	Norpimarane and Norisopimarane diterpenoids	0.2857142857142857	1.0	0.78349096	ISDB	http://www.wikidata.org/entity/Q27145396	WECGLUPZRHILCT-KKFOGOCZSA-N	InChI=1S/C21H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-19-20(23)18-22/h6-7,9-10,20,22-23H,2-5,8,11-19H2,1H3/b7-6-,10-9-/t20-/m1/s1	CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](O)CO	C21H38O4		354.27700969599994	3-Linoleoyl-sn-glycerol	WECGLUPZRHILCT	Fatty acids	Glycerolipids	Monoacylglycerols	http://www.wikidata.org/entity/Q15244762	Premna microphylla	503286.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Lamiales']	['Lamiaceae']	['Unknown']	['Premna']	['Premna microphylla']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	1	7.6339638233184814	1
40431	1294	-1							1.0	0.4838767	ISDB									YDVDXUYJFQLPEG							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	1.935506820678711	1
